Study name,Accession,Primary GPA,DAC,External Data Source,PI,Registration Status��
Multivalent state transitions shape the intratumoral composition of small cell lung carcinoma,phs003102.v1.p1,Ian Fingerman,NCI DAC,,Mohamed Abazeed,Released
Single cell analysis of sporadic human basal cell carcinomas,phs003103.v1.p1,Freddie Pruitt,NCI DAC,,Anthony Oro,Released
Post Genome Wide Association Studies in TGCT WES,phs003107.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Katherine Nathanson,Released
Childhood Cancer Data Initiative (CCDI): Clonal Evolution during Metastatic Spread in HighRrisk Neuroblastoma,phs003111.v2,Freddie Pruitt,NCI DAC,Yes,Elli Papaemmanuil,Completed by GPA
Integrative Analysis for Multi-Omics Data in Non-small-cell Lung Cancer,phs003113.v1.p1,Sharna Tingle,NHGRI,,Wei Wang,Released
CIDR: Detroit Research on Cancer Survivors (ROCS) and Disparities and Cancer Epidemiology- Colorectal Cancer (DANCE),phs003116.v2,Emilie Charlisse Caga-Anan,NCI DAC,,Ann Schwartz,Awaiting GPA's Approval
Multiregional single-cell transcriptomic analysis of liver cancer,phs003117.v1.p1,Kathleen Calzone,NCI DAC,,Xin Wang,Released
Center for Common Disease Genomics [CCDG] - Cardiovascular: Early Treatment of Atrial Fibrillation for Stroke Prevention Trial,phs003120.v1.p1,Sharna Tingle,NHGRI,Yes,Patrick Ellinor,Completed by GPA
Targeted genomic sequencing in large human genes to detect induced structural variants,phs003121.v2.p1,Ian Fingerman,NCI DAC,,Thomas Wilson,Released
Genetic Progression of Head and Neck Squamous Cell Carcinoma,phs003139.v1.p1,Alicia Chou,NIDCR,,Gad Getz,Released
Genetic Epidemiology of Ovarian Cancer Histotypes,phs003140.v1.p1,Mariam Eljanne,NCI DAC,,Mollie Barnard,Released
Integrative Somatic and Germline Computational Biology to Redefine Clinical Actionability in Solid Tumors,phs003141.v2,Freddie Pruitt,NCI DAC,,Eliezer Van Allen,Completed by GPA
My Pediatric and Adult Rare Tumor (MyPART) Natural History Study of Rare Solid Tumors,phs003143.v1.p1,Kathleen Calzone,NCI DAC,Yes,Mary Wedekind Malone,Released
Germline Genomic Analyses of Breast Cancer in Latinas,phs003144.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Susan Neuhausen,Suspended
Tissue Sampling and Biorepository to improve Cancer Cell Therapy,phs003145.v1.p1,Freddie Pruitt,NCI DAC,,Ash Alizadeh,Released
A Phase II Neoadjuvant Study of Palbociclib in Combination with Letrozole and Trastuzumab as Neoadjuvant Treatment of Stage II-III ER+ HER2+ Breast Cancer (PALTAN),phs003147.v1.p1,Nathaniel Boyd,NCI DAC,,Foluso Ademuyiwa,Released
NCT03343197: Clinical Biomarker Data,phs003148.v1.p1,Nathaniel Boyd,NCI DAC,,Sung Choe,Released
Bladder Cancer Organoids as a Functional System to Model Different Disease Stages and Therapy Response,phs003149.v1.p1,Nathaniel Boyd,NCI DAC,,Francesca Demichelis,Released
International Cancer Proteogenomics Consortium (ICPC): Proteogenomics of East-Asian Breast Cancer,phs003150.v1.p1,Sean Hanlon,NCI DAC,,Hsuan-Yu Chen,Released
CPTAC: Proteogenomic studies of ovarian tumor responses to agents targeting the DNA damage response,phs003152.v1.p1,Sean Hanlon,NCI DAC,,Amanda Paulovich,Released
Neoantigen-targeted CD8+ T-cell responses 1 with PD-1 blockade therapy,phs003153.v1.p1,Freddie Pruitt,NCI DAC,,Antoni Ribas,Released
"An Advanced Molecular Medicine Case Report of a Rare Human Tumor Using Genomics, Pathomics, and Radiomics",phs003154.v1.p1,Nathaniel Boyd,NCI DAC,,Donald Johann,Released
TCGA WGS Variants Across 18 Cancer Types,phs003155.v2,Joseph Flores-Toro,NCI DAC,Yes,John Torcivia,Completed by GPA
Whole exome sequencing of biopsies of Kaposi sarcoma lesions,phs003157.v1.p1,Kathleen Calzone,NCI DAC,,Robert Yarchoan,Completed by GPA
S�zary syndrome originates from heavily mutated hematopoietic progenitors,phs003158.v1.p1,Ian Fingerman,NCI DAC,,Jose Conejo-Garcia,Released
Targeted long-read sequencing of the Ewing sarcoma 6p25.1 susceptibility locus,phs003159.v1.p1,Geoffrey Tobias,NCI DAC,,Mitchell Machiela,Released
Childhood Cancer Data Initiative (CCDI): PIVOT UT San Antonio,phs003160.v1.p1,Freddie Pruitt,NCI DAC,Yes,Peter Houghton,Released
Childhood Cancer Data Initiative (CCDI): PIVOT MSKCC,phs003161.v1.p1,Freddie Pruitt,NCI DAC,Yes,Andrew Kung,Released
Childhood Cancer Data Initiative (CCDI): PIVOT Children's Hospital of Chicago,phs003162.v1.p1,Freddie Pruitt,NCI DAC,Yes,Subhashini Jagu,Completed by GPA
Childhood Cancer Data Initiative (CCDI): Pediatric In Vivo Testing Program � Neuroblastoma,phs003163.v1.p1,Freddie Pruitt,NCI DAC,Yes,John Maris,Released
Childhood Cancer Data Initiative (CCDI): PIVOT Children's Cancer Institute Australia,phs003164.v2.p1,Freddie Pruitt,NCI DAC,Yes,Richard Lock,Released
Phase I Study and Cell-Free DNA Analysis of T-DM1 and Metronomic Temozolomide for Secondary Prevention of HER2-Positive Breast Cancer Brain Metastases,phs003165.v1.p1,Kathleen Calzone,NCI DAC,,Stanley Lipkowitz,Released
Enhancing Open Data Sharing for Functional Genomics Experiments: Measures to Quantify Genomic Information Leakage and File Formats for Privacy Preservation,phs003166.v1.p1,Sharna Tingle,NHGRI,,Mark Gerstein,Released
Genome-wide analysis of aberrant position and sequence of plasma DNA fragment ends in patients with cancer,phs003170.v1.p1,Freddie Pruitt,NCI DAC,,Muhammed Murtaza,Released
Comparison between qPCR and RNAseq reveals challenges of quantifying HLA expression,phs003177.v1.p1,Kathleen Calzone,NCI DAC,,Mary Carrington,Released
"Combined PD-1, BRAF and MEK inhibition in BRAFV600E colorectal cancer: a phase 2 trial",phs003178.v1.p1,Freddie Pruitt,NCI DAC,,Gad Getz,Released
The Ultrasound Study of Tamoxifen,phs003183.v1.p1,Geoffrey Tobias,NCI DAC,,Gretchen Benson,Released
Molecular subtyping reveals immune alterations associated with progression of bronchial premalignant lesions,phs003185.v1.p1,Nathaniel Boyd,NCI DAC,,Avrum Spira,Released
Tamoxifen Response at Single Cell Resolution in Estrogen Receptor Positive Primary Human Breast Tumors,phs003186.v1.p1,Freddie Pruitt,NCI DAC,,Philip Spanheimer,Released
Overcoming clinical resistance to EZH2 inhibition using rational epigenetic combination therapy,phs003188.v1.p1,Ian Fingerman,NCI DAC,,Alex Kentsis,Released
Extrachromosomal DNA Amplification Contributes to Small Cell Lung Cancer Heterogeneity and is Associated with Worse Outcomes,phs003190.v1.p1,Kathleen Calzone,NCI DAC,,Anish Thomas,Released
RNA splicing dysregulation in the pathogenesis of chronic lymphocytic leukemia,phs003191.v1.p1,Ian Fingerman,NCI DAC,,Lili Wang,Released
ARST17B2-Q Germline and Somatic Genetic Landscape of Pediatric Rhabdomyosarcoma,phs003192.v1.p1,Geoffrey Tobias,NCI DAC,,Philip Lupo,Released
NSD2 E1099K drives relapse in pediatric acute lymphoblastic leukemia by disrupting 3D chromatin organization,phs003195.v2,Freddie Pruitt,NCI DAC,,William Carroll,Completed by GPA
Detection and Targeting of Splicing Deregulation in Pediatric Acute Myeloid Leukemia Stem Cells,phs003196.v1.p1,Ludmila Pawlikowska,NIDDK,,Catriona Jamieson,Released
Genomic Analyses of Germline and Somatic Variation in High-Grade Serous Ovarian Cancer,phs003198.v1.p1,Nathaniel Boyd,NCI DAC,,Susan Neuhausen,Released
RNAseq data from early stage triple negative breast cancer tumors treated with TVEC and chemotherapy (MCC18621),phs003199.v1.p1,Freddie Pruitt,NCI DAC,,Hatem Soliman,Released
High-throughput RNA Isoform Sequencing using Programmable cDNA Concatenation,phs003200.v1.p1,Sharna Tingle,NHGRI,Yes,Nir Hacohen,Released
E5103 correlative studies,phs003201.v1.p1,Grace Mishkin,NCI DAC,,Bryan Schneider,Released
Single cell colony whole genome sequencing data from individuals with telomere syndromes,phs003207.v2,Ian Fingerman,NCI DAC,,Mary Armanios,Awaiting GPA's Approval
Structurally complex osteosarcoma genomes exhibit limited heterogeneity within individual tumors and across evolutionary time,phs003209.v1.p1,Ian Fingerman,NCI DAC,,Ryan Roberts,Released
The Natural History of Lymph Node Metastases in Head and Neck Cancer,phs003211.v1.p1,Joseph Flores-Toro,NCI DAC,,Narayanan Gopalakrishna Iyer,Completed by GPA
Melbourne Collaborative Cohort Study DNA methylation studies,phs003213.v1.p1,Freddie Pruitt,NCI DAC,,Roger Milne,Released
Texas Pediatric Patient Derived Xenograft�,phs003215.v2,Freddie Pruitt,NCI DAC,Yes,Subhashini Jagu,Completed by GPA
Molecular Determinants of Esophageal Cancer in Tanzania,phs003217.v1.p1,Freddie Pruitt,NCI DAC,,Elia Mmbaga,Released
Whole exome sequencing and RNA-seq to characterize the somatic breast cancer landscape among Latinas in California,phs003218.v1.p1,Gabriel Lai,NCI DAC,,Susan Neuhausen,Released
Single cell sequencing reveals distinct microenvironment cell types associated with response to high dose melphalan and autologous stem cell transplant in multiple myeloma,phs003219.v1.p1,Nathaniel Boyd,NCI DAC,,Brian Walker,Released
Identification of high-risk PHF19 expressing cells in myeloma single cell multiomics,phs003220.v2.p1,Nathaniel Boyd,NCI DAC,,Brian Walker,Released
Genomic profiling of pediatric B-cell Acute Lymphoblastic Leukemia,phs003226.v1.p1,Ian Fingerman,NCI DAC,,Jesse Dixon,Released
Hi-C profiling of solid tumor samples,phs003227.v1.p1,Ian Fingerman,NCI DAC,,Jesse Dixon,Released
Genomics of blastic plasmacytoid dendritic cell neoplasm,phs003228.v1.p1,Ian Fingerman,NCI DAC,,Andrew Lane,Released
Analysis of donor pancreata defines the transcriptomic signature and microenvironment of early neoplastic pancreatic lesions.,phs003229.v1.p1,Ian Fingerman,NCI DAC,,Marina Pasca Di Magliano,Released
Temporal evolution reveals bifurcated lineages in aggressive neuroendocrine small cell prostate cancer trans-differentiation,phs003230.v2.p1,Ian Fingerman,NCI DAC,,Thomas Graeber,Released
Co-occurring Alterations in Multiple Tumor Suppressor Genes are Associated with Worse Outcomes in Patients with EGFR-mutant Lung Cancer,phs003232.v1.p1,Freddie Pruitt,NCI DAC,,Katerina Politi,Completed by GPA
Single Cell Genotypic and Phenotypic Analysis of Measurable Residual Disease in Acute Myeloid Leukemia,phs003233.v1.p1,Freddie Pruitt,NCI DAC,,Wenbin Xiao,Released
Center for Common Disease Genomics [CCDG] - Cardiovascular: Medical College of Wisconsin Cohort,phs003241.v1.p1,Sharna Tingle,NHGRI,Yes,Nathan Stitziel,Completed by GPA
Comprehensive Omics Analysis of Pediatric Solid Tumors and Establishment of a Repository for Related Biologic Studies (10C0086),phs003243.v1.p1,Kathleen Calzone,NCI DAC,,Rosandra Kaplan,Released
Center for Common Disease Genomics [CCDG] - Washington University Multi-Ethnic Linked-Read WGS Study,phs003247.v1.p1,Sharna Tingle,NHGRI,Yes,Nathan Stitziel,Completed by GPA
Deterministic evolution and stringent selection during pre-neoplasia,phs003249.v1.p1,Ian Fingerman,NCI DAC,,Christina Curtis,Released
Genetic studies of homologous recombination deficiency in hispanic gastric cancer,phs003251.v2,Emilie Charlisse Caga-Anan,NCI DAC,,Luis Carvajal,Completed by GPA
Single-cell ATAC and RNA sequencing of human breast cancer reveals salient cancer-specific enhancers,phs003253.v1.p1,Freddie Pruitt,NCI DAC,,Hector Franco,Released
Single duplex DNA sequencing with CODEC detects mutations with high sensitivity,phs003255.v1.p1,Nathaniel Boyd,NCI DAC,,Viktor Adalsteinsson,Released
Therapy-induced APOBEC3A drives evolution of resistance to targeted therapies in non-small cell lung cancer,phs003256.v1.p1,Freddie Pruitt,NCI DAC,,Aaron Hata,Released
Investigating the role of neddylation in the repair of topoisomerase I-mediated DNA damage in colorectal cancer,phs003257.v1.p1,Kathleen Calzone,NCI DAC,,Yves Pommier,Released
Center for Common Disease Genomics [CCDG] - Cardiovascular: Women's Health Initiative (WHI) Cohort,phs003264.v1.p1,Sharna Tingle,NHGRI,Yes,Nathan Stitziel,Completed by GPA
Center for Common Disease Genomics [CCDG] - Cardiovascular: Sao Paulo Brazil Cohort,phs003265.v1.p1,Sharna Tingle,NHGRI,Yes,Nathan Stitziel,Completed by GPA
Center for Common Disease Genomics [CCDG] - Cardiovascular: Kanazawa University Cohort,phs003266.v1.p1,Sharna Tingle,NHGRI,Yes,Nathan Stitziel,Completed by GPA
Center for Common Disease Genomics [CCDG] - Cardiovascular: Corogene Cohort,phs003267.v1.p1,Sharna Tingle,NHGRI,Yes,Nathan Stitziel,Completed by GPA
GATA2 Deficiency and the MonoMAC Syndrome,phs003269.v1.p1,Kathleen Calzone,NCI DAC,,Dennis Hickstein,Released
Supraphysiologic MDM2 expression impacts P53-independent chromatin networks and therapeutic responses in sarcoma,phs003272.v1.p1,Ian Fingerman,NCI DAC,,Bradley Bernstein,Released
Association of Oxidative Stress Pathway Alterations with Risk of Treatment Failure in RTOG9512: A Randomized Trial of Hyperfractionation Versus Conventional Fractionation in T2 Squamous Cell Carcinoma of the Vocal Cord,phs003274.v1.p1,Freddie Pruitt,NCI DAC,,David Hayes,Released
Prediction of Resistance and Sensitivity to HER2 Targeted Therapy in the Neoadjuvant Setting,phs003275.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Lisa Carey,Released
MAITS in HCC,phs003279.v1.p1,Kathleen Calzone,NCI DAC,Yes,Tim Greten,Released
Spatiotemporal charting of human esophageal development for epidermolysis bullosa cell therapy,phs003281.v1.p1,Nathaniel Boyd,NCI DAC,,Anthony Oro,Released
Genetic analysis of skin cells,phs003282.v2.p1,Ian Fingerman,NCI DAC,,A. Hunter Shain,Released
Immune-related adverse events after immune checkpoint blockade-based therapy are associated with improved survival in advanced sarcoma,phs003284.v2.p1,Freddie Pruitt,NCI DAC,,Sandra D'Angelo,Released
CDKN2A remodels lipid metabolism to prime glioblastoma for ferroptosis,phs003286.v2.p1,Ian Fingerman,NCI DAC,,David Nathanson,Released
FinaleMe: Predicting DNA Methylation by the Fragmentation Patterns of Plasma Cell-free DNA,phs003287.v1.p1,Sharna Tingle,NHGRI,,Viktor Adalsteinsson,Released
"Cell-free, methylated DNA in blood samples reveals tissue-specific, cellular damage from radiation treatment",phs003290.v1.p1,Freddie Pruitt,NCI DAC,,Anton Wellstein,Released
"Correlative studies in Protocol #9204, which studied ipilimumab or nivolumab in hematologic malignancies after transplantation, including studies in collaboration with CIMAC-CIDC",phs003291.v1.p1,Freddie Pruitt,NCI DAC,Yes,Catherine Wu,Released
Ipilimumab plus decitabine for patients with MDS or AML in post-transplant or transplant na�ve settings,phs003292.v1.p1,Freddie Pruitt,NCI DAC,Yes,Jacqueline Garcia,Released
Mechanisms of response and resistance to combined decitabine and ipilimumab for advanced myeloid disease,phs003293.v1.p1,Freddie Pruitt,NCI DAC,,Subhashini Jagu,Completed by GPA
A Randomized Trial of Combined PD-L1 and CTLA-4 Inhibition with Targeted Low-Dose or Hypofractionated Radiation for Patients with Metastatic Colorectal Cancer,phs003294.v1.p1,Freddie Pruitt,NCI DAC,Yes,Jonathan Schoenfeld,Released
"Durvalumab plus tremelimumab alone or in combination with low-dose or hypofractionated radiotherapy in metastatic non-small-cell lung cancer refractory to previous PD(L)-1 therapy: an open-label, multicentre, randomised, phase 2 trial",phs003295.v1.p1,Freddie Pruitt,NCI DAC,Yes,Jonathan Schoenfeld,Released
"Correlative studies in Protocol #10013, which studied drugs carboplatin, paclitaxel, and atezolizumab in TNBC, including those in collaboration with CIMAC-CIDC",phs003296.v1.p1,Freddie Pruitt,NCI DAC,Yes,William Gillanders,Completed by GPA
Population Genetic Testing and SERPINA1 Sequencing Identifies Unidentified Alpha-1 Antitrypsin Deficiency Alleles and Gene-Environment Interaction with Hepatitis C Infection,phs003297.v1.p1,Sharna Tingle,NHGRI,,Lisa Bastarache,Released
"The NIH MINI Study: Metabolism, Infection, and Immunity in Inborn Errors of Mitochondrial Metabolism",phs003299.v1.p1,Sharna Tingle,NHGRI,Yes,Peter McGuire,Completed by GPA
Whole Genome Sequencing for Metastatic Mutational Burden in Extraskeletal Myxoid Chondrosarcoma,phs003305.v1.p1,Freddie Pruitt,NCI DAC,,Kurt Weiss,Released
Characterization of Macrophage-Tropic HIV Infection of Central Nervous System Cells and the Influence of Inflammation,phs003306.v1.p1,Jonathan Pollock,JAAMH,,Ronald Swanstrom,Released
Labeling and sequencing of 5hmC and 5mC in DNA,phs003311.v1.p1,Sharna Tingle,NHGRI,,Chuan He,Completed by GPA
A microwell platform for high-throughput longitudinal phenotyping and selective retrieval of organoids,phs003315.v1.p1,Ian Fingerman,NCI DAC,,Christina Curtis,Released
"A pilot study of neoadjuvant nivolumab, ipilimumab and intralesional oncolytic virotherapy for HER2-negative breast cancer",phs003316.v1.p1,Freddie Pruitt,NCI DAC,,Antoni Ribas,Released
Single-cell multi-omic analysis of the vestibular schwannoma ecosystem uncovers a nerve injury-like state,phs003318.v1.p1,Freddie Pruitt,NCI DAC,,Albert Kim,Released
RNA sequencing of ECOG-E1308,phs003320.v1.p1,Grace Mishkin,NCI DAC,,Wendell Yarbrough,Released
Integrated Analysis of Multimodal Single-Cell Datasets for SARS-CoV-2 Vaccination,phs003322.v1.p1,Sharna Tingle,NHGRI,,Rahul Satija,Released
Whole Exome and RNA Sequencing of 22 Patient-Derived Xenografts from Estrogen Receptor-Positive Breast Cancers,phs003324.v1.p1,Freddie Pruitt,NCI DAC,,Michael Ittmann,Released
DNA-sequencing of baseline plasma from the phase III Alliance A031201 trial,phs003325.v2.p1,Freddie Pruitt,NCI DAC,,Scott Dehm,Released
Uveal Melanoma Immunogenomics Predict Immunotherapy Resistance and Susceptibility,phs003330.v1.p1,Nathaniel Boyd,NCI DAC,,Udai Kammula,Released
Kids First Project on Congenital Clubfoot,phs003336.v1.p1,Marcia Fournier,Kids First DAC,Yes,Jonathan Rios,Completed by GPA
BarcUVa-Seq (Biology of Colorectal Cancer Risk Enhancers),phs003338.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Graham Casey,Released
Meta-analysis of genome-wide association studies of bladder cancer risk,phs003342.v1.p1,Geoffrey Tobias,NCI DAC,,Nathaniel Rothman,Released
Targeted linked-read DNA-seq analysis of castration-resistant prostate cancers,phs003343.v1.p1,Ian Fingerman,NCI DAC,,Scott Dehm,Released
Non-breast/ovarian tumors in germline BRCA1/2 carriers,phs003348.v2,Mariam Eljanne,NCI DAC,,Kara Maxwell,Awaiting GPA's Approval
T Cells Expressing a Novel Fully-Human Anti-BCMA CAR for Treating Multiple Myeloma,phs003352.v1.p1,Abid Al Reza,NCI DAC,,James Kochenderfer,Completed by GPA
Evolution of Structural Rearrangements in Prostate Cancer Intracranial Metastases,phs003357.v1.p1,Freddie Pruitt,NCI DAC,,Himisha Beltran,Released
Bulk ATAC and RNA sequencing of human breast cancer metastasis samples,phs003363.v1.p1,Freddie Pruitt,NCI DAC,,Hector Franco,Completed by GPA
A novel type of monocytic leukemia stem cell revealed by the clinical use of venetoclax-based therapy,phs003367.v1.p1,Ian Fingerman,NCI DAC,,Craig Jordan,Completed by GPA
Patient-derived models of prostate cancer,phs003369.v3.p1,Freddie Pruitt,NCI DAC,,Renea Taylor,Released
Genetic Predictors of Ibrutinib-Related Cardiovascular Side Effects in Patients with Chronic Lymphocytic Leukemia,phs003370.v1.p1,Sharna Tingle,NHGRI,,Nilanjan Ghosh,Released
"GU 16-257: Neoadjuvant gemcitabine, cisplatin, plus nivolumab in patients with muscle- invasive bladder cancer with selective bladder sparing: CIMACC-CIDC (Cohort 1)",phs003372.v1.p1,Freddie Pruitt,NCI DAC,Yes,Matthew Galsky,Awaiting GPA's Approval
"A Phase I Study of the Treatment of Recurrent Malignant Glioma with rQNestin34.5v.2, a Genetically Engineered HSV-1 Virus, and Immunomodulation with Cyclophosphamide",phs003378.v2.p1,Grace Mishkin,NCI DAC,,E. Chiocca,Released
Germline mutations and developmental mosaicism underlying EGFR-mutant lung cancer,phs003379.v1.p1,Nathaniel Boyd,NCI DAC,,Gad Getz,Released
Cryptic Splice Mutation in the Fumarate Hydratase Gene in Patients With Clinical Manifestations of Hereditary Leiomyomatosis and Renal Cell Cancer (HLRCC).,phs003381.v1.p1,Abid Al Reza,NCI DAC,,Marston Linehan,Released
PCPT and SELECT Cohorts: Core Infrastructure Support for Cancer Research,phs003382.v1.p1,Claire Zhu,NCI DAC,,Catherine Tangen,Released
SUDC Registry and Research Collaborative,phs003383.v1.p1,Sharna Tingle,NHGRI,,Orrin Devinsky,Released
Epigenetic Changes in Immune Response and Oncogenesis Related Genes Caused by Heavy Metal Long-term Exposure,phs003392.v1.p1,Sharna Tingle,NHGRI,,Ani Stepanyan,Released
Subtyping of Small Cell Lung Cancer using plasma cell-free nucleosomes,phs003393.v1.p1,Abid Al Reza,NCI DAC,,Anish Thomas,Completed by GPA
Systematic identification of minor histocompatibility antigens informs outcomes after allogeneic stem cell transplantation,phs003394.v2,Freddie Pruitt,NCI DAC,,Catherine Wu,Completed by GPA
Reference Standards for Mosaic Variant Detection,phs003399.v1.p1,Sharna Tingle,NHGRI,,Sangwoo Kim,Released
A Phase 2 Study of MEDI4736(durvalumab) and Tremelimumab Alone or in Combination with High or Low-Dose Radiation in Metastatic Colorectal and NSCLC,phs003401.v1.p1,Grace Mishkin,NCI DAC,Yes,Jonathan Schoenfeld,Completed by GPA
Genomic tumor correlates of clinical outcomes following organ-sparing chemoradiation therapy for bladder cancer,phs003402.v1.p1,Freddie Pruitt,NCI DAC,,David Miyamoto,Released
Genomic Analysis of Prostate Tumor Heterogeneity in Metastasis,phs003404.v1.p1,Freddie Pruitt,NCI DAC,,Carlos Moreno,Released
scRNAseq of Human Urothelial Carcinoma,phs003405.v1.p1,Freddie Pruitt,NCI DAC,,William Kim,Completed by GPA
Tracking Therapy-Resistant Alterations in Childhood Acute Lymphoblastic Leukemia,phs003409.v1.p1,Joseph Flores-Toro,NCI DAC,,Xiaotu Ma,Released
A human lymphoma organoid model for evaluating and targeting the follicular lymphoma tumor immune microenvironment,phs003410.v1.p1,Freddie Pruitt,NCI DAC,,Ash Alizadeh,Released
Correlative study in Protocol S1400I; A PHASE III RANDOMIZED STUDY OF NIVOLUMAB PLUS IPILIMUMAB VERSUS NIVOLUMAB IN STAGE IV SQUAMOUS CELL LUNG CANCER (CIMAC-CIDC),phs003412.v1.p1,Freddie Pruitt,NCI DAC,Yes,Michael Leblanc,Released
"Immune Responses in Checkpoint Myocarditis Across Heart, Blood, and Tumor",phs003413.v1.p1,Freddie Pruitt,NCI DAC,,Alexandra-Chloe Villani,Released
"A Randomized Phase 2 Study of Cabozantinib in Combination with Nivolumab in Advanced, Recurrent Metastatic Endometrial Cancer",phs003414.v1.p1,Freddie Pruitt,NCI DAC,,Stephanie Lheureux,Completed by GPA
Transcriptomic and epigenetic profiling of SCLC patient samples.,phs003416.v1.p1,Freddie Pruitt,NCI DAC,,Lauren Shipley,Released
The Chromatin Landscape of Pathogenic Transcriptional Cell States in Rheumatoid Arthritis,phs003417.v2.p1,Sharna Tingle,NHGRI,,Soumya Raychaudhuri,Released
Altered interactions between circulating and tissue-resident CD8 T cells with the colonic mucosa define checkpoint inhibitor colitis,phs003418.v1.p1,Freddie Pruitt,NCI DAC,,Alexandra-Chloe Villani,Released
Patient-Derived Models of Prostate Cancer for Personalized Medicine,phs003420.v1.p1,Ian Fingerman,NCI DAC,,Nora Navone,Completed by GPA
Hereditary Gastric Cancer Syndromes: An Integrated Genomic and Clinicopathologic Study of the Predisposition to Gastric Cancer,phs003422.v1.p1,Abid Al Reza,NCI DAC,,Jeremy Davis,Released
Extensive Convergent Evolution of BRCA2 Reversion Mutations Under Therapeutic Pressure by PARP Inhibition and Platinum Chemotherapy,phs003423.v1.p1,Freddie Pruitt,NCI DAC,,Alison Schram,Completed by GPA
Pooled Mutant KRAS-Targeted Long Peptide Vaccine Combined With Nivolumab and Ipilimumab for Patients With Resected MMR-p Colorectal and Pancreatic Cancer,phs003425.v2,Freddie Pruitt,NCI DAC,,Neeha Zaidi,Completed by GPA
CALGB/SWOG 80405: Genome-Wide Association Study of Patients With Advanced or Metastatic Colorectal Cancer Treated with First-Line Chemotherapy Combined With Cetuximab and/or Bevacizumab,phs003428.v1.p1,Grace Mishkin,NCI DAC,,Kouros Owzar,Released
Children's Hospital of Philadelphia B- and T-cell Acute Leukemia and Lymphomas,phs003432.v2,Freddie Pruitt,NCI DAC,Yes,David Teachey,Completed by GPA
Establishment of a Lifetime Cohort of Individuals Surviving Childhood Cancer,phs003434.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Melissa Hudson,Completed by GPA
Circulating Genomic Determinants of Treatment Failure in Hodgkin Lymphoma,phs003435.v1.p1,Freddie Pruitt,NCI DAC,,Ash Alizadeh,Released
KRT17High/CXCL8+ tumor cells display both classical and basal features and regulate myeloid infiltration in the pancreatic cancer microenvironment.,phs003436.v1.p1,Justin Benavidez,NCI DAC,,Marina Pasca Di Magliano,Released
Integrated Somatic and Germline Molecular Properties Dictating Biological and Clinical Phenotypes in Cancer,phs003438.v2.p1,Freddie Pruitt,NCI DAC,,Eliezer Van Allen,Completed by GPA
Cancer Immune Monitoring and Analysis Centers - Cancer Immunologic Data Commons (CIMAC-CIDC) studies in DART (S1609): Dual Anti-CTLA-4 and Anti-PD-1 Blockade in Rare Tumors,phs003443.v1.p1,Freddie Pruitt,NCI DAC,Yes,Michael Leblanc,Completed by GPA
The Cancer Dependency Map (DepMap),phs003444.v3,Sharna Tingle,NCI DAC,Yes,Francisca Vazquez,Completed by GPA
Profiling RNA translation in pediatric medulloblastoma,phs003446.v1.p1,Freddie Pruitt,NCI DAC,,John Prensner,Released
MAESTRO-Pool enables highly parallel and specific mutation-enrichment sequencing for minimal residual disease detection in cohort studies,phs003447.v1.p1,Freddie Pruitt,NCI DAC,,Viktor Adalsteinsson,Released
"Correlative studies in Protocol E4412, which studied Combinations of Ipilimumab, Nivolumab and Brentuximab Vedotin in Patients with Relapsed/Refractory Hodgkin Lymphoma, in collaboration with CIMAC-CIDC",phs003450.v1.p1,Freddie Pruitt,NCI DAC,Yes,Catherine Diefenbach,Completed by GPA
The genetic evolution of acral melanoma,phs003451.v2.p1,Freddie Pruitt,NCI DAC,,Boris Bastian,Released
Phase 2 Study of Pembrolizumab in Combination With Gemcitabine and Cisplatin as Neoadjuvant Therapy,phs003452.v1.p1,Freddie Pruitt,NCI DAC,,Matthew Milowsky,Released
"Correlative studies for Protocol #14-C-0059, which studied anti-GD2-CAR T cells in GD2+ solid tumors, in collaboration with CIMAC-CIDC",phs003455.v2,Freddie Pruitt,NCI DAC,Yes,Rosandra Kaplan,Completed by GPA
Assessing Individual Head and Neck Squamous Cell Carcinoma Patient Response to Therapy Through Integration of Functional and Genomic Data,phs003456.v1.p1,Freddie Pruitt,NCI DAC,,Molly Kulesz-Martin,Released
Heterogeneity in Lysosomal Storage Disorders,phs003459.v1.p1,Sharna Tingle,NHGRI,,Ellen Sidransky,Released
Sensitive and accurate tumor detection by methylation and hemi-methylation of plasma cell-free DNA,phs003462.v1.p1,Freddie Pruitt,NCI DAC,,Zhiguo Zhang,Released
Genomic Landscape of Colorectal Cancer in a Multi-Ancestry Cohort,phs003464.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Stephanie Schmit,Released
Fiber-rich Foods to Treat Obesity and Prevent Colon Cancer,phs003465.v1.p1,Claire Zhu,NCI DAC,,Terryl Hartman,Completed by GPA
"Breast Cancer In Blacks: Impact of Genomics, Healthcare Use and Lifestyle on Outcomes (BRIGHT)",phs003466.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Tuya Pal,Released
