type	resource_uuid	resource_source_id	resource_title	resource_short_description	resource_source_url	resource_tool_type	resource_tool_subtype	resource_research_area	resource_research_type	resource_access	resource_doc	resource_poc_email	resource_poc_name	resource_full_description
resource	1374cd99-888c-571a-ba31-8e32a43b8fb0	r4r_0159	Screening Bayesian Evaluation and Analysis Method (ScreenBEAM)	ScreenBEAM is an algorithm that measures gene-level activity to assess the effect of high-throughput RNA interference (RNAi) or Clustered Regularly Interspaced Short Palindromic Repeats (CRISPR) screens through Bayesian hierarchical modeling.	https://github.com/jyyu/ScreenBEAM	Analysis Tools	Genomic Analysis;R Software	Cancer Biology;Cancer Omics;Cancer Treatment	Basic;Translational	Open Access	Center for Cancer Genomics (CCG)	yujiyang@gmail.com	Jiyang Yu	ScreenBEAM is an algorithm that measures gene-level activity to assess the effect of high-throughput RNAi or CRISPR screens through Bayesian hierarchical modeling. For both RNAi and CRISPR, multiple shRNAs or sgRNAs (respectively) are used to target a single gene. ScreenBEAM analyzes gene-level activity for the whole set of shRNAs or sgRNAs targeting the same gene (multi-probe analysis) instead of analyzing the effect of each individual shRNA or sgRNA on a given gene. This reduces false positive and negative rates of high-throughput RNAi or CRISPR screens. This algorithm can handle both microarray and next generation sequencing data as input.
resource	5ed580de-021d-5c56-89f4-73dc29a81985	r4r_0160	Clustered Regularly Interspaced Short Palindromic Repeats (CRISPRi) plasmids	The CRISPR toolbox allows for the precise regulation of gene expression in eukaryotic cells.	http://www.addgene.org/crispr/qi-weissman/	Lab Tools	Reagents	Cancer Biology;Cancer Omics	Basic;Translational	Open Access	Center for Cancer Genomics (CCG)	ocg@mail.nih.gov		CTD<sup>2</sup> researchers at the University of California, San Francisco developed a modified CRISPR/dCas9 system. Catalytically inactive dCas9 enables modular and programmable RNA-guided genome regulation in eukaryotes. The CRISPR/dCas9 system has several advantages. It enables robust gene interference (CRISPRi) or activation (CRISPRa) in human cells, allows specific knockdown with minimal off-target effects in human cells, works efficiently in human and yeast cells, and does not cause double-strand breaks.
resource	1756f930-285e-5426-bb43-64c1dbd37cc7	r4r_0161	SlicerDMRI	SlicerDMRI is an open-source project to improve and extend diffusion magnetic resonance imaging (DMRI) software in 3D Slicer.	http://dmri.slicer.org	Analysis Tools	Imaging Analysis	Cancer Treatment	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			SlicerDMRI is an open-source project to improve and extend diffusion magnetic resonance imaging (DMRI) software in 3D Slicer that allows users to load Digital Imaging and Communications in Medicine (DICOM) and nrrd/nhdr diffusion MRI medical image data; perform tractography and compute scalar maps, such as FA; and load and save tractography in new DICOM format. Users can also visualize, edit, and register multimodal data using 3D Slicer tools. All functionality is accesible through the graphical user interface, but users may also perform command line batch processing.
resource	b260abb4-945b-562c-83d9-f8c2dffcb732	r4r_0162	Extensible Neuroimaging Archive Toolkit (XNAT)	XNAT is an open-source imaging informatics platform designed to support institutional image repositories, image-based clinical trials, and translational imaging research.	http://www.xnat.org	Datasets and Databases	Clinical Data;Imaging	Cancer Treatment;Screening and Detection	Clinical Trials;Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			XNAT is an open-source imaging informatics platform designed to support institutional image repositories, image-based clinical trials, and translational imaging research.
resource	2ea2f255-f1e9-5e66-96e7-3c5554ab7ff7	r4r_0163	Repository of Tumors and Tumor Cell Lines	This tumor repository serves as a resource for viable, contaminant-free experimental tumor lines, many of which are not obtainable elsewhere.	https://dtp.cancer.gov/organization/btb/docs/DCTDTumorRepositoryCatalog.pdf	Lab Tools	Animal Models;Biospecimen;Cell Lines	Cancer Biology;Cancer Treatment	Basic	Requires Registration	Division of Cancer Treatment & Diagnosis (DCTD)			The tumors in this repository are transplantable tumors and tumor cell lines from various species. They are categorized by species and tumor designation for hamster, guinea pig, mouse, rabbit and rat. Human tumors are grouped by tumor type. They are provided as experimental tools for the cancer research community.
resource	dd3e8a13-246c-5ef8-a1c0-07ac206f1569	r4r_0164	NCI Formulary	NCI agent formulary (NCI Formulary) is a public-private partnership between NCI and pharmaceutical and biotechnology companies that provides NCI-funded US main-member Experimental Therapeutics Clinical Trials Network (ETCTN) and National Clinical Trials Network (NCTN) institutions and their investigators rapid access to agents for cancer clinical trial use or preclinical research.	https://nciformulary.cancer.gov	Lab Tools;Networks and Consortiums	Compounds	Cancer Biology;Cancer Treatment	Basic;Clinical;Clinical Trials	Requires Registration	Division of Cancer Treatment & Diagnosis (DCTD)	NCIFormulary@mail.nih.gov		NCI agent formulary (NCI Formulary) is designed to expand the use of NCI Formulary pharmaceutical company collaborator proprietary agents for preclinical research or clinical trials and improve the clinical trial implementation process. Investigators from eligible institutions may submit proposals using the available NCI Formulary agents to conduct preclinical research or conduct investigator-sponsored clinical trials. The NCI Formulary is particularly useful to investigators who would like to perform combination studies that focus on agents targeting molecular pathways from multiple collaborating pharmaceutical companies.
resource	e3224f22-c5d0-59ed-9055-f795f087030a	r4r_0165	NCI Experimental Therapeutics Program (NExT)	The mission of the NExT Program is to advance clinical practice and bring improved therapies to patients with cancer by supporting most promising new drug discovery and development projects.	https://next.cancer.gov/default.htm	Networks and Consortiums		Cancer Treatment	Clinical Trials	Requires Registration	Division of Cancer Treatment & Diagnosis (DCTD)			"The NExT program assists translation to the clinic of novel therapeutic interventions, either synthetic, natural product, or biologic, arising from academic, private, or government entities. NExT is not a grant mechanism. Approved proposals gain access to <a href=""https://next.cancer.gov/discoveryResources/default.htm"">drug discovery resources</a> and <a href=""https://next.cancer.gov/developmentResources/default.htm"">development resources</a> through the NExT Program. A panel of experts will evaluate the applications based on criteria including scientific merit, feasibility, alignment with NCI's mission, novelty, and clinical need."
resource	fb9b7889-0a74-57e8-bd15-5db030cb825f	r4r_0166	Clinical Interpretation of Variants in Cancer (CIViC) Knowledgebase	CIViC is a community-driven web resource that enables precision medicine by providing an educational forum for dissemination of knowledge and active discussion of the clinical significance of cancer genome alterations.	https://civic.genome.wustl.edu/home	Datasets and Databases	Genomic Datasets	Cancer Omics	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			CIViC is an open access, open source, community-driven web resource for Clinical Interpretation of Variants in Cancer. Our goal is to enable precision medicine by providing an educational forum for dissemination of knowledge and active discussion of the clinical significance of cancer genome alterations.
resource	9baca550-2513-5f8e-a5fc-0a92ab497a03	r4r_0167	Small Cell Lung Cancer Project Data	Compound sensitivity data , gene expression data, and microRNA expression data for 63 human small cell lung cancer cell lines. The FDA-approved anticancer drugs and about 400 investigational agents were tested in 9-point concentration response with an exposure time of 4 days.	https://sclccelllines.cancer.gov/sclc/downloads.xhtml	Datasets and Databases		Cancer Biology;Cancer Omics	Translational	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			"This resource provides access to compound sensitivity data for approximately 500 compounds including FDA-approved anticancer drugs and investigational agents on 63 established human small cell lung cancer cell lines in 9-point concentration response with an exposure time of 4 days. These data, along with gene expression data derived from Affymatrix exon arrays and microRNA expression determined from Nanostring technology, are available at the website listed below. This study has been published (<a href=""https://www.ncbi.nlm.nih.gov/pubmed/27247353"">J Natl Cancer Inst.</a> 2016 May 31;108(10).doi: 10.1093; <a href=""https://www.ncbi.nlm.nih.gov/pubmed/28766886"">Cancer Med.</a> 2017 Aug;6(8):1952-1964. doi: 10.1002)."
resource	7f65e98b-5bed-5f18-8975-157826573f4f	r4r_0168	Genomic Data Commons (GDC)	The GDC is a data sharing platform that provides access to harmonized genomic and de-identified clinical data from various large-scale cancer studies, along with web-based tools for data analysis and visualization.	https://gdc.cancer.gov/	Analysis Tools;Datasets and Databases	Clinical Data;Data Visualization;Genomic Analysis;Genomic Datasets;Imaging	Cancer Biology;Cancer Omics;Cancer Treatment	Basic;Clinical Trials;Translational	Open Access	Center for Cancer Genomics (CCG)	peggy.wang@nih.gov	Peggy Wang	The GDC is a research program with a mission to provide the cancer research community with a unified data repository that enables data sharing across cancer genomic studies in support of precision medicine. GDC provides harmonized DNA and RNA sequencing data and other high-quality biospecimen, clinical, and molecular data. Web-based tools supporting fine-grained queries and advanced visualization and pipelines generating DNA sequence variants, mutation analyses, expression analyses, and more are also accessible.
resource	4085bc7a-931a-5c4d-8e64-d67e615e80fe	r4r_0169	Radiation Risk Assessment Tool (RadRAT)	RadRAT is an online calculator for estimating the lifetime risk of cancer incidence for members of the U.S. population (or countries with similar cancer incidence rates) from exposure to ionizing radiation for doses below 1 Gy.	https://dceg.cancer.gov/tools/risk-assessment/radrat	Community Research Tools	Risk Assessment	Causes of Cancer	Epidemiologic	Open Access	Division of Cancer Epidemiology & Genetics (DCEG)	ncicontactdceg@mail.nih.gov		"""RadRAT is an online calculator for estimating the lifetime risk of cancer incidence for members of the U.S. population (or countries with similar cancer incidence rates) from exposure to ionizing radiation for doses below 1 Gy.&mdash;The calculator works using organ-specific dose estimates according to age at exposure and sex. Lifetime total cancer risk and organ-specific risk estimates are reported along with a 90% uncertainty range.&mdash;The reported lifetime risks are based on the risk models for the eleven cancers included in the 2006 report of the National Academies of Sciences' BEIR VII Committee, <em>Health Risks from Exposure to Low Levels of Ionizing Radiation</em>, and on the risk models for an additional eight cancers that were, developed by NCI after the publication of the BEIR VII report."""
resource	f86a7ff2-a97b-5bce-9059-d50b474bb422	r4r_0170	Age Period Cohort Analysis Web Tool	Age Period Cohort Analysis Web Tool is a panel of easy-to-interpret estimable age-period-cohort (APC) functions and corresponding Wald tests in R code that can be accessed through a user-friendly webtool.	https://dceg.cancer.gov/tools/analysis/apc	Analysis Tools	Modeling;R Software	Causes of Cancer	Epidemiologic		Division of Cancer Epidemiology & Genetics (DCEG)	NCIAPCWebToolAdmin@mail.nih.gov		Age-period-cohort (APC) analysis can inform registry-based studies of cancer incidence and mortality, but concerns about statistical identifiability and interpretability, as well as the learning curves of statistical software packages, have limited its uptake. This tool contains a panel of easy-to-interpret estimable APC functions and corresponding Wald tests in R code that can be accessed through a user-friendly Web tool.
resource	57cfdf1c-6a32-5a72-a5bd-0bd790313714	r4r_0171	Standardized Occupation Coding for Computer-assisted Epidemiologic Research (SOCcer)	SOCcer is software to code free-text job descriptions into standardized occupation classification codes to assist researchers in incorporating occupational risk factors into their studies.	https://dceg.cancer.gov/tools/design/soccer-tool	Analysis Tools	Statistical Software	Causes of Cancer	Epidemiologic	Open Access	Division of Cancer Epidemiology & Genetics (DCEG)	NCISOCcerWebAdmin@mail.nih.gov		SOCcer is a publicly available application that was developed to assist epidemiological researchers incorporate occupational risk into their studies. The application is not intended to replace expert coders, but rather prioritizes job descriptions that would most benefit from expert coders. Low scoring job descriptions are more likely to require expert review than high scoring job description. The coding is performed using an ensemble classifier, which combines the results of multiple classifiers to produce a single classifier that performs better than any single classifier in the ensemble.
resource	2daab798-5d20-55d0-a254-3ede9345a602	r4r_0172	Power for Genetic Association Analyses (PGA)	PGA is a software package containing algorithms and graphical user interfaces developed in Matlab for power and sample size calculation under various genetic models and statistical constraints.	https://dceg.cancer.gov/tools/design/pga	Analysis Tools	Statistical Software	Causes of Cancer	Epidemiologic	Open Access	Division of Cancer Epidemiology & Genetics (DCEG)	rosenbep@mail.nih.gov	Philip Rosenberg	PGA is a package of algorithms and graphical user interfaces developed in Matlab for power and sample size calculation under various genetic models and statistical constraints. The software is designed to facilitate decision making for case-control association studies of candidate genes, fine-mapping studies, and whole-genome scans. Instructions for downloading software follow.
resource	1dafdf1e-7af1-5714-9ebb-2acffd0f16d0	r4r_0173	Job Modules for Occupational Questionnaires	Descriptions of special questionnaires with modules designed to obtain detailed information for over 40 specific jobs, available from the Occupational and Environmental Epidemiology Branch of DCEG.	https://dceg.cancer.gov/tools/design/job-modules/job-modules	Community Research Tools	Questionnaire	Causes of Cancer	Epidemiologic		Division of Cancer Epidemiology & Genetics (DCEG)	friesenmc@mail.nih.gov		Assessment of occupational exposures in case-control studies has traditionally been limited because of the lack of information on the variability of exposures across and within jobs. NCI has developed special questionnaires with modules designed to obtain detailed information for over 40 specific jobs on tasks, work practices, chemicals, equipment, engineering controls, personal protective equipment and indirect exposures. Examples of jobs for which questionnaires have been developed include : plumbers, roofers, steel workers, packagers, inspectors, and painters. A wide variety of exposures are addressed including: solvents, metals, EMF, PCBs, and wood dust.
resource	2f4a291f-224a-5709-8010-298ce8708b24	r4r_0174	Computerized Heterocyclic Amines Resource for Research in Epidemiology of Disease (CHARRED)	CHARRED is a software application used to estimate intake of the mutagenic compounds in cooked meats.	https://dceg.cancer.gov/tools/design/charred	Analysis Tools	Modeling	Causes of Cancer	Epidemiologic	Open Access	Division of Cancer Epidemiology & Genetics (DCEG)	charredhelp@imsweb.com;ncicontactdceg@mail.nih.gov		Diets containing substantial amounts of red meat may increase the risk of various types of cancer. The association with red meat intake may be due to a combination of factors, such as content of fat, protein, and iron, and/or meat preparation (e.g. cooking or preserving methods). Experimental studies have shown that meats cooked at high temperatures contain heterocyclic amines (HCAs) and polycyclic aromatic hydrocarbons (PAHs), which are mutagenic and carcinogenic in animals. To estimate intake of these meat-cooking mutagens, a detailed meat cooking module within a Food Frequency Questionnaire in conjunction with a mutagen database was developed. Charred is a software application to estimate intake of the mutagenic compounds in cooked meats.
resource	dbb4a399-cb30-5dbc-9aef-c61808d2d131	r4r_0175	Clinical Proteomic Tumor Analysis Consortium (CPTAC) Data Portal	CPTAC analyzes cancer biospecimens by mass spectrometry, characterizing and quantifying their constituent proteins, or proteome. The CPTAC Data Portal is the centralized repository for the dissemination of proteomic data collected by the Proteome Characterization Centers (PCCs).	https://proteomics.cancer.gov/data-portal	Datasets and Databases;Networks and Consortiums	Clinical Data;Genomic Datasets	Cancer Omics	Basic	Open Access	Center for Strategic Scientific Initiatives (CSSI)			The Data Portal hosts the mass spectrometry data from the CPTAC program. A key component is the proteogenomic profiling of patient tumors, such as those from the breast, colorectal, and ovarian cancer programs in The Cancer Genome Atlas (TCGA). The portal also hosts data from completed programs and external studies.<br>The CPTAC program is the main data generator of the hosted data. Additional datasets from other programs such as APOLLO and ICPC are anticipated in the future.
resource	cdb0d28a-be04-53b5-991e-140fe6a83ccf	r4r_0176	Clinical Proteomic Tumor Analysis Consortium (CPTAC) Antibody Portal	The CPTAC Antibody Portal serves as an NCI community resource that provides access to many highly characterized renewable affinity reagents with accompanying characterization data.	https://proteomics.cancer.gov/antibody-portal	Lab Tools;Networks and Consortiums	Protocols;Reagents	Cancer Biology;Cancer Diagnosis;Cancer Omics	Basic;Translational	Open Access	Center for Strategic Scientific Initiatives (CSSI);Office of Cancer Clinical Proteomics Research (OCCPR)	hiltket@mail.nih.gov	Tara Hiltke	The CPTAC Antibody Portal houses affinity reagents characterized and validated by NCI's Antibody Characterization Laboratory, located at the Frederick National Laboratory for Cancer Research. Upon entering the portal, users can browse by antibodies or antigens or select from a series of table filters on the left side of the page. Each antibody has background, characterization data with corresponding standard operating procedures, as well as links to the CPTAC assay portal (when applicable) and Developmental Studies Hybridoma Bank at the University of Iowa for purchase. Each antigen additionally has standard operating procedures and links to central repositories of protein and gene information, such as Uniprot, Ensembl, and Entrez. For those interested in affinity reagents to a specific protein target, the CPTAC Antibody Portal has an application form for reagent target requests to the NCI Antibody Characterization Program that is released on an annual basis.
resource	91a30f56-51a7-5069-b0ff-886b1194abfc	r4r_0177	Clinical Proteomic Tumor Analysis Consortium (CPTAC) Assay Portal	The CPTAC Assay Portal serves as a centralized public repository of 'fit-for-purpose,' multiplexed quantitative mass spectrometry-based proteomic targeted assays.	https://assays.cancer.gov	Analysis Tools;Lab Tools;Networks and Consortiums	Assays;Data Visualization;Protocols	Cancer Biology;Cancer Diagnosis;Cancer Omics	Basic;Translational	Open Access	Center for Strategic Scientific Initiatives (CSSI);Office of Cancer Clinical Proteomics Research (OCCPR)	kinsingc@mail.nih.gov	Chris Kinsingee	The CPTAC Assay Portal is a repository of highly characterized proteomic assays, standard operating procedures, and assay characterization/validation data in support of the National Institutes of Health's Rigor and Reproducibility Principles and Guidelines. Upon entering the assay portal, users can search for an assay by entering a protein or peptide name, or they can filter assays by selecting the drop-down tab on the left side of the page. Each assay has background information along with a protein map, assay details, publication information, assay parameters, chromatograms, response curves, and repeatability measures. Additional resources include the standard operating procedures and instructions for viewing the peptide or protein in Panorama.
resource	d4d2fc9b-a3c8-52a3-86fa-e94f702bc028	r4r_0178	NCI Mouse Repository	The NCI Mouse Repository is a resource for mouse cancer models, associated strains, and genetically engineered mouse embryonic stem cells harboring conditional microRNA (miRNAs) transgenes.	https://frederick.cancer.gov/science/technology/mouserepository	Lab Tools	Animal Models;Cell Lines	Cancer Biology;Cancer Survivorship;Causes of Cancer	Basic;Translational	Open Access	Division of Cancer Biology (DCB)	MouseRepository@nih.gov		The NCI Mouse Repository is a resource for mouse cancer models and associated strains that is available to all members of the scientific community (academic, non-profit, and commercial). NCI Mouse Repository strains are cryo-archived and distributed as frozen germoplasm (embryos and/or sperm). The repository also contains 1,501 genetically engineered mouse embryonic stem cells harboring conditional microRNA (miRNA) transgenes that can be used to study the role of miRNAs in cancer.
resource	92c9af4d-084e-50b2-ba9a-9f040c563810	r4r_0179	NCI Cohort Consortium	The NCI Cohort Consortium promotes large-scale research collaborations through pooling data and biospecimens collected from 50+ international cohort studies to conduct a wide range of cancer studies.	https://epi.grants.cancer.gov/Consortia/cohort.html	Networks and Consortiums		Cancer Omics;Cancer Survivorship;Causes of Cancer	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS);Division of Cancer Epidemiology & Genetics (DCEG)			The NCI Cohort Consortium promotes collaborative research projects for topics not easily addressed in a single study. The Consortium includes investigators responsible for more than 50 cohorts involving more than seven million people. The cohorts are international in scope and cover diverse populations. Extensive risk factor data are available on each cohort and biospecimens collected at baseline are available on approximately two million individuals. <br>Application for membership will be open to the principal investigator of any cancer epidemiology cohort with at least 10,000 study participants, in which cancer occurrence is assessed and some risk factor data collected, who commits to scientific collaboration by contributing data for scientific research and participating in pooling studies.
resource	815bd82f-d25b-5fbe-8d47-dac144390df6	r4r_0180	Cancer Epidemiology Descriptive Cohort Database (CEDCD)	The CEDCD is a searchable database that contains information about cohort studies that follow groups of persons over time for cancer incidence, mortality, and other health outcomes.	https://cedcd.nci.nih.gov/	Datasets and Databases	Epidemiologic Data	Causes of Cancer	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	crystal.lane@nih.gov	Crystal Lane	The CEDCD contains descriptive information about cohort studies that follow groups of persons over time for cancer incidence, mortality, and other health outcomes. The CEDCD is a searchable database that contains general study information (e.g., eligibility criteria and size), the type of data collected at baseline, cancer sites, number of participants diagnosed with cancer, and biospecimen information. All data included in this database are aggregated for each cohort; there are no individual-level data. The goal of the CEDCD is to facilitate collaboration and highlight the opportunities for research within existing cohort studies.<br>Information in the CEDCD has been provided with approval from the cohort principal investigators.
resource	60197423-3538-5a4d-a5fc-8b0d4d9318bf	r4r_0182	Dietary Assessment Primer	The purpose of the Primer primer is to help researchers determine the best way to assess diet for any study in which estimates of group intakes are required.	https://dietassessmentprimer.cancer.gov/	Training Resources		Cancer Prevention		Open Access	Division of Cancer Control & Population Sciences (DCCPS);Division of Cancer Prevention (DCP)	reedyj@mail.nih.gov	Jill Reedy	NCI's Dietary Assessment Primer enables researchers to choose the most appropriate self-report diet instrument for a particular study by outlining the key features, benefits, and drawbacks of several instruments. The primer also covers key concepts in dietary assessment, explains how to minimize measurement error, and lists other dietary assessment resources.<br>The Dietary Assessment Primer contains details on the major self-report instruments and guidance for using these instruments alone or in combination to address different research questions. It also contains recommendations for choosing a dietary assessment approach in research settings requiring group-level estimates.
resource	96eb628c-7142-5a4b-ab23-1c5644382b57	r4r_0183	Automated Self-Administered 24-Hour (ASA24) Dietary Assessment Tool	ASA24 is a free web-based tool for epidemiologic, interventional, behavioral, or clinical research that enables multiple automatically coded self-administered 24-hour recalls and food records.	https://epi.grants.cancer.gov/asa24/	Community Research Tools	Questionnaire	Cancer Prevention	Epidemiologic	Requires Registration	Division of Cancer Control & Population Sciences (DCCPS)	herrickka@mail.nih.gov	Kirsten Herrick	The ASA24 system is a freely -available, web-based software tool that enables automated and self-administered 24-hour dietary recalls and food records (food diaries). The ASA24 system can be used by researchers for epidemiologic, intervention, behavioral, or clinical research. Clinicians may use the ASA24 system for diet assessment and nutrition counseling, and educators may find it to be a useful teaching tool.<br>The ASA24 system consists of Respondent and Researcher websites. For the Researcher website, researchers can customize ASA24 recalls and records to collect data on dietary supplements, food sources, TV and computer use during meals, location of meals, and with whom meals were eaten.
resource	0db4654c-73e3-5289-94ee-9c6fd6bc6b19	r4r_0184	Diet History Questionnaire (DHQ)	The DHQ is a freely available food frequency questionnaire (FFQ). It can be used by researchers, clinicians, or educators to assess food and dietary supplement intakes.	https://epi.grants.cancer.gov/dhq3/	Community Research Tools	Questionnaire	Cancer Prevention	Epidemiologic	Requires Registration	Division of Cancer Control & Population Sciences (DCCPS)	herrickka@mail.nih.gov	Kirsten Herrick	DHQ III is the most recent version of the DHQ and it can be used by researchers, clinicians, or educators to assess food and dietary supplement intakes. DHQ III is available as a web-based tool only. There are four DHQ III questionnaires, available in both English and Spanish, that vary by time frame and inclusion of portion size questions. There have been two prior versions of DHQ, the original and DHQ II. There were Canadian and U.S. versions of the DHQ II, but the most recent iteration, DHQ III, does not yet have a Canadian version. DHQ II-Canada is still available for use.
resource	64f828f5-0536-5be2-adda-fd08248e7d2d	r4r_0185	Healthy Eating Index (HEI)	The HEI is a scoring metric that can be used to determine overall diet quality as well as the quality of a range of dietary components.	https://epi.grants.cancer.gov/hei/	Analysis Tools	Modeling	Cancer Prevention	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	reedyj@mail.nih.gov	Jill Reedy	The HEI is a measure of diet quality, independent of quantity, that can be used to assess compliance with the U.S. Dietary Guidelines for Americans and monitor changes in dietary patterns. The HEI also is a valuable tool for epidemiologic and economic research and can be used to evaluate nutrition interventions and consumer nutrition education programs. The HEI-2015 is the latest iteration of the HEI. The original HEI was released by the United States Department of Agriculture (USDA) in 1995. Changes made to the Dietary Guidelines for Americans have necessitated revisions to the original HEI. The HEI has been significantly updated through a collaboration with the USDA and NCI.
resource	1c7b0bdc-4bbc-547b-9bf8-ebb11ae3934e	r4r_0186	NCI Method for Assessing Usual Dietary Intakes	Researchers at NCI and elsewhere developed a method to estimate usual dietary intakes of foods and nutrients using 24-hour recalls.	https://epi.grants.cancer.gov/diet/usualintakes/	Analysis Tools	Modeling	Cancer Prevention	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	reedyj@mail.nih.gov	Jill Reedy	"Usual dietary intake is the long-run average daily intake of a nutrient or food. The concept of long-term average daily intake, or ""usual intake,"" is important because dietary recommendations are intended to be met over time and diet-health hypotheses are based on dietary intakes over the long term. The NCI method can be used to estimate the distribution of usual intake for a population or subpopulation; assess the effects of individual covariates on consumption; and predict individual intake for use in a model to assess the relationship between diet and disease or other variable using the statistical technique of regression calibration."
resource	e2ccab7b-ceed-5f62-9b69-73bcb2d60156	r4r_0187	Genetic Simulation Resources (GSR)	The GSR provides a catalogue of existing software packages that simulate genetic data of the human genome.	https://popmodels.cancercontrol.cancer.gov/gsr/	Analysis Tools	Modeling	Cancer Omics	Basic;Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)			Genetic simulation software is an important adjunct to research in genetic epidemiology and statistical genetics. The GSR provides a catalogue of more than 100 existing software packages that simulate genetic data of the human genome. The purpose of the GSR is to help investigators identify the genetic simulator most suitable for their research needs. <br>The GSR characterizes applications by many different attributes, including simulation method, type of genetic variation, input/output formats, programming languages, and license information.
resource	84650b91-448a-52f6-a47d-6e6546d99216	r4r_0188	Catalogue of Surveillance Systems	The Catalogue of Surveillance Systems provides one-stop access to more than 100 publicly available datasets relevant to childhood obesity research.	https://www.nccor.org/nccor-tools/catalogue/	Datasets and Databases	Epidemiologic Data	Cancer Prevention	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	reedyj@mail.nih.gov	Jill Reedy	The Catalogue of Surveillance Systems provides a platform to review, sort, and compare more than 100 surveillance systems relevant to childhood obesity research and evaluation of policy and environmental interventions. This resource helps researchers more easily investigate childhood obesity in America by increasing efficiency, effectiveness, and innovation in obesity research. It was developed by the National Collaborative on Childhood Obesity Research, and NCI staff are the project leads for the development and maintenance of this tool.
resource	ddeeee75-fd6a-5b1e-a79f-840fa95481ec	r4r_0189	Measures Registry	The Measures Registry is a searchable database of diet and physical activity measures relevant to childhood obesity research.	https://www.nccor.org/nccor-tools/measures/	Community Research Tools	Questionnaire;Screener;Survey	Cancer Prevention	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	reedyj@mail.nih.gov	Jill Reedy	The registry promotes the consistent use of common measures and research methods across childhood obesity research and prevention programs at the individual, community, and population levels. Each study in the registry contains information on study design, how to use the measure, and validity and reliability information. It was developed by the National Collaborative on Childhood Obesity Research, and NCI staff are the project leads for the development and maintenance of the Measures Registry.
resource	c3e0ddb6-5c68-534f-80f8-404922583359	r4r_0190	Measures Registry User Guides	The User Guides provides an overview of measurement and principles of measurement selection, and present case studies using the Measures Registry to select measures for childhood obesity.	https://www.nccor.org/nccor-tools/mruserguides/	Training Resources		Cancer Prevention	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	reedyj@mail.nih.gov	Jill Reedy	It can be challenging for researchers to choose the most appropriate measures of childhood obesity for their work. To address this need, the National Collaborative on Childhood Obesity Research began the Measures Registry User Guides to provide an overview of measurement, describe general principles of measurement selection, present case studies that walk users through the process of using the Measures Registry to select appropriate measures, and direct researchers to additional resources. The User Guides will help move the field forward by fostering more consistent use of measures, which will allow for standardization, meta-analyses, and synthesis. NCI staff are the projects leads for the development and maintenance of the User Guides.
resource	d042bc7f-b7ab-53ce-8f76-7afa5b620a80	r4r_0191	NCI Transcriptional Pharmacodynamics Workbench (NCI TPW)	This resource provides drug-sensitivity and gene-expression data for NCI-60 cell lines exposed to 15 clinically relevant anticancer agents, as well as computational and visualization tools to analyze and explore these datasets.	https://tpwb.nci.nih.gov	Analysis Tools;Datasets and Databases	Biological Networks;Data Visualization;Genomic Analysis;Genomic Datasets	Bioinformatics;Cancer Biology;Cancer Omics;Cancer Treatment	Basic;Translational	Requires Registration	Division of Cancer Treatment & Diagnosis (DCTD)	ncitpwsupport@mail.nih.gov	Alida Palmisano	The NCI TPW integrates cell-line sensitivity data for 15 clinically relevant anticancer agents with both basal transcript levels and agent-induced transcriptional changes for 12,704 genes at three time points across the NCI-60 panel. The NCI TPW further relates this information to exon mutation, protein expression, and multidrug resistance data and enables query of these data in the context of cellular pathways and receptors. This website has been developed using advanced computational and visualization tools for empowering developmental-therapeutics investigators worldwide and providing them access to the genome-wide characterization of the NCI-60 cell lines and the enormous time-course databases on genome-wide response to treatment with drugs.
resource	e99b6e03-8c96-559a-90cd-cd43e44bd169	r4r_0192	rDriver	rDriver is a modeling application that identifies mutations with high functional impact scores that are associated with systemic variation in gene expression.	http://bioinformatics.mdanderson.org/main/RDriver	Analysis Tools	Genomic Analysis	Bioinformatics;Cancer Biology;Cancer Omics;Cancer Treatment	Basic;Translational	Open Access	Center for Cancer Genomics (CCG)		Ken Chen	Identification of cancer driver mutations is critical for advancing cancer research and precision oncology. Due to inter-tumor genetic heterogeneity, many driver mutations occur at low frequencies, which make it challenging to distinguish them from passenger mutations. rDriver predicts driver mutations by integrating genome-wide mRNA/protein expression levels with evolutionary and structural properties of mutations characterized by functional impact scores.
