dataset_title,description,dbGaP_phs,dbGaP_URL,PI_name,GPA,dataset_doc,dataset_pmid,funding_source,release_date,limitations_for_reuse,assay_method,study_type,primary_disease,participant_count,sample_count,study_links,related_genes,related_diseases,related_terms
Transdisciplinary Research Into Cancer of the Lung (TRICL) - Meta    Analysis,"This sub-study phs000877 Meta Analysis contains genotype, sequence data, and selected phenotype of subjects available from the phs000877 study. Summary level phenotypes for the NCI Lung Cancer Transdisciplinary Research Cohort  study participants can be viewed at the top-level study page phs000876 Lung Cancer Transdisciplinary Research Cohort. Individual level phenotype data",phs000877.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000877,Christopher Amos,Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),24880342;22899653;24681604,U19 CA148127,2020-04-10,,,Case-Control,Lung Neoplasms,,,,BRCA2;CHRNA3;CHRNA5;MSH5;RAD52;TERT;BAG6;TP63;CHEK2;CLPTM1L,"Adenocarcinoma;Neoplasms, Squamous Cell","Adenocarcinoma; Neoplasms, Squamous Cell; ADNOS; Adenocarcinomas; Adenoma, Malignant; Adenomas, Malignant"
Women's Health Study Accelerometry Dataset,"Background The Women's Health Study (WHS) was a randomized trial testing low-dose aspirin and vitamin E for preventing cancer and CVD among 39,876 women aged &#x02265;45 years throughout the US  from 1992-2004. When the trial ended as planned, women who were willing to participate continued in an observational follow-up study. Participants in",phs001964.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001964,"I-Min Lee, MBBS, ScD;Julie E. Buring, ScD",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),30666321;29109088;31141585,CA154647;CA182913,2020-03-19,GRU,,Longitudinal,Exercise,17062.0,0.0,http://whs.bwh.harvard.edu/,,Sedentary Behavior,"Sedentary Behavior; Behavior, Sedentary; Lifestyle, Sedentary; Sedentary Behaviors; Sedentary Lifestyle; Sedentary life style"
Understanding the Progression of Metastatic Colorectal Cancer,This study is to understand (1) the clonal evolution of metastatic colorectal cancer using DNA sequencing and (2) long non-coding RNAs associated with metastatic colon cancer using RNA sequencing. Our  goal is to better understand the progression of aggressive colorectal cancer. All metastatic colon cancer patients coming in for surgery were,phs001722.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001722,"Ryan Fields, MD",Ian Fingerman,Division of Cancer Biology (DCB),,Siteman Team Science Award,2020-03-17,GRU,RNA-Seq;WXS;Targeted-Capture;WGS,Cohort,Neoplasms,20.0,219.0,,,Colorectal Neoplasms;Neoplasm Metastasis,Neoplasm Metastasis; CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine
PAK4 Inhibition Improves PD-1 Blockade Immunotherapy,"Introduction with rationale and aims for study Immune checkpoint blockade therapies have significantly altered the current landscape of cancer treatment. However, this immunotherapy still fails more often than it succeeds.  There are now evidences that the lack of tumour infiltration by immune cells is the main mechanism of primary resistance to PD&#x02010;1 blockade",phs001919.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001919,"Antoni Ribas, MD PhD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),25970248;25428505,P01 CA168585,2020-03-13,HMB-PUB-NPU-MDS,RNA-Seq,Cohort,Melanoma,39.0,60.0,,PAK4,Immunotherapy,"Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant; Melanomas"
ProHealth: Kaiser Permanente Genome-wide Association Study of Prostate    Cancer,"A genome-wide association study (GWAS) of prostate cancer (PCa) was conducted in Kaiser Permanente (KP) Northern California health plan members (7,783 cases, 38,595 controls; 80.3% non-Hispanic white, 4.9% African-American, 7.0%  East Asian, and 7.8% Latino) [PMID: 26034056]. The data for these members were drawn from three KP cohort studies: Research Program in Genes,",phs001221.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001221,"John S. Witte, PhD;Stephen K. Van Den Eeden, PhD",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),"26034056;26092718;21565264;21903159;22138821;22384356;26544944;21949389;30305743;33398198;No PMID: Association Study of Over 200,000 Subjects Detects Novel Rare Variants, Functional Elements, and Polygenic Architecture of Prostate Cancer Susceptibility | Emami NC, Cavazos TB, Rashkin SR, Cario CL, Graff RE, Tai CG, Mefford JA, Kachuri L, Wan E, Wong S, Aaronson DS, 			Presti J, Habel LA, Shan J, Ranatunga DK, Chao CR, Ghai NR, Jorgenson E, Sakoda LC, Kvale MN, Kwok P-Y, Schaefer C, 			Risch N, Hoffmann TJ, Van Den Eeden SK, Witte JS.",CA127298;CA088164;CA112355,2020-03-12,DS-PC-IRB-NPU-MDS;NRUP,Array_SNP_CNV;Imputation_SNP_CNV,Cohort,Prostatic Neoplasms,35405.0,34736.0,,,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
Single Cell Analysis Reveals New Evolutionary Complexity in Uveal    Melanoma,"Uveal melanoma (UM) is a rare eye cancer that is highly aggressive and leads to metastatic death in up to half of patients. Here, we conduct droplet-based single-cell RNA sequencing  of 59,915 neoplastic and non-neoplastic cells from 8 primary and 3 metastatic UMs. Single-cell VDJ sequencing of RNA is conducted to determine",phs001861.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001861,"J. William Harbour, MD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),,R01 CA125970;Core Grant P30EY014801;Core Grant P30CA240139,2020-03-11,HMB-PUB,RNA-Seq;WGA,Case Set,Uveal melanoma,11.0,24.0,,EIF1AX;GNA11;GNAQ;BAP1;SF3B1,,Not Provided
Rare Germline Variations in Familial Melanoma,"Although a number of high-risk melanoma genes have been identified, they account for melanoma risk in less than 40% of melanoma-prone families. The major goals of our research are to  identify novel high-penetrance genes for familial melanoma in melanoma-prone families without known mutations and to identify modifier factors,",phs001177.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001177,"Rose Yang, PhD",Geoffrey Tobias,Division of Cancer Epidemiology and Genetics (DCEG),27476724,Intramural Research,2020-03-09,HMB-MDS,RNA-Seq;WXS;Targeted-Capture;Array_SNP,Family,"Melanoma, Cutaneous Malignant",3357.0,3495.0,,,,"CMM; Cutaneous Malignant Melanoma; Cutaneous Malignant Melanomas; Cutaneous melanoma; MELANOMA, MALIGNANT; MM (malignant melanoma) of skin"
Genome Sequencing of Lung Cancer in European Americans and African    Americans,"The goal of this study is to compare the somatic mutation landscape between European Americans and African Americans. It includes various histological forms of lung cancer. In LUAD, we find  increased prevalence of PTPRT and JAK2 mutations among African Americans. These proteins function in the same pathway and as such, this may be a new",phs001895.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001895,"Brid Ryan, PhD MPH",Kathleen Calzone,Center for Cancer Research (CCR),"No PMID: Recurrent PTPRT/JAK2 Mutations in Lung Adenocarcinomas in African Americans | Mitchell K, Nichols N, Tang W, Walling J, Stevenson H, Pineda M, Stefanescu R, 		         Edelman D, Girvin A, Zingone A, Sinha S, Bowman E, Rossi E, Arauz R, Zhu YL, 				 Lack J, Weingartner E, Waterfall J, Pine S, Simmons J, Paul M, Ryan BM;35121843",BC011554-05,2020-03-05,GRU,Targeted-Capture;Array_CNV,Case-Control,Lung Neoplasms,286.0,578.0,,JAK2;PTPRT,"Carcinoma, Non-Small-Cell Lung","Carcinoma, Non Small Cell Lung; Carcinoma, Non-Small Cell Lung; Carcinoma, Non-Small-Cell Lung; Carcinomas, Non-Small-Cell Lung; Lung Carcinoma, Non-Small-Cell; Lung Carcinomas, Non-Small-Cell"
Germline Variants of Clinical Cancer Specimens,"These clinical specimens represent solid tumors and matched blood controls that were collected as part of patients' routine care at Memorial Sloan Kettering Cancer Center. They were sequenced on the  targeted platform MSK-IMPACT. Here, we performed germline variant calling on the normal blood specimens and assessed their zygosity in the",phs001858.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001858,Michael F. Berger,Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),34741162;31292550,R01 CA227534;U54 OD020355;P01 CA221757;R01 CA207244;P50 CA092629,2020-02-25,DS-CA-PUB-MDS,Seq_DNA_SNP_MAF_Ind,Case Set,Neoplasms,17152.0,34304.0,,,Genomics,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Temporal and Clonal Progression in Pediatric Ependymoma,"Whole genome and exome-based DNA sequencing of germline and tumor specimens from serial samples of a single patient's ependymoma. The findings reveal the extent to which treatment with radiation and  chemotherapies resulted in the diversification of the tumor subclonal architecture and shaped the neo-antigen landscape, and provide new insights",phs001461.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001461,"Joshua Rubin, MD, PhD",Ian Fingerman,Division of Cancer Biology (DCB),29440180,McDonnell Genome Institute endowment;Robert E. and Louise F. Dunn Distinguished Professorship endowment,2020-02-24,DS-BT-PUB-NPU-MDS,RNA-Seq;WGS,Longitudinal,Ependymoma,1.0,11.0,,,Supratentorial Neoplasms,"Supratentorial Neoplasms; Cellular Ependymoma; Clear Cell Ependymoma; Brain Neoplasms, Supratentorial; Neoplasm, Supratentorial; Neoplasms, Supratentorial"
MGH Gastrointestinal Malignancies Resistance Initiative,"Tumor heterogeneity can drive the evolution of multiple tumor subclones harboring unique molecular resistance alterations in different metastatic lesions in an individual patient, under the selective pressure of therapy1-3. Studies  have suggested that liquid biopsy may better capture the heterogeneity of acquired resistance, but systematic, direct comparisons of post-progression",phs001853.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001853,"Ryan Corcoran MD, PhD",Ian Fingerman,Division of Cancer Biology (DCB),,IBM,2020-02-21,DS-GICA-MDS,WXS,Longitudinal Cohort,Colorectal Neoplasms,15.0,44.0,,,Cholangiocarcinoma;Stomach Neoplasms;Esophageal Neoplasms,"Esophageal Neoplasms; Bile duct cancer; CC; CCA; Carcinoma, Cholangiocellular; Carcinomas, Cholangiocellular"
Genomic Profiling of Metastatic Uveal Melanoma,"Up to 50% of patients with uveal melanoma (UM) develop metastatic disease, for which there is no effective systemic treatment. This study aimed to evaluate the safety and efficacy of  the orally available protein kinase C inhibitor, AEB071, in patients with metastatic UM, and to perform genomic profiling of metastatic tumor",phs001953.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001953,Sophie Piperno-Neumann,Ian Fingerman,Division of Cancer Biology (DCB),,Novartis Pharmaceuticals Corporation,2020-02-14,DS-UM-GSO,WXS,Clinical Trial,Uveal Neoplasms,89.0,89.0,,ALK;APC;ATM;ATR;ATRX;BACH1;PRDM1;BRCA1;BRAF;BRCA2;RUNX1;RUNX1T1;CCND3;CD79B;CDH1;CDKN2A;CDKN2B;CDKN2C;CTNNB1;DAXX;DNMT3A;ERG;FANCE;FGFR3;GNA11;GNAQ;GRIN2A;HLA-A;IRF4;MRE11;MYC;NBN;NF1;NFKBIA;NOTCH4;NRAS;PIK3C2G;PPP2R1A;PRKAR1A;PRKDC;PTCH1;SMARCA4;TP53;WT1;KMT2D;BAP1;GNA13;SF3B1;LRP1B;PBRM1;PAK5;BCORL1;BRIP1;FAT3;RICTOR,Neoplasm Metastasis;Eye Neoplasms,"Eye Neoplasms; Neoplasm Metastasis; Cancer of Eye; Cancer of the Eye; Cancer, Eye; Cancers, Eye"
Count Me In: Angiosarcoma Project (CMI-ASCproject),Count Me In - The Angiosarcoma Project: A Patient-Partnered Research Initiative to Accelerate Research in a Rare Sarcoma The Angiosarcoma Project (ASCproject) is a research study that directly engages angiosarcoma  patients online and empowers them to accelerate cancer research by sharing medical information and clinical samples. Angiosarcoma is an exceedingly,phs001931.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001931,"Nikhil Wagle, MD",Freddie Pruitt,Center for Cancer Genomics (CCG),32042194,Institutional Funding,2020-02-14,GRU,,Cohort,Sarcoma,36.0,84.0,http://ascproject.org/data-release,,Hemangiosarcoma;Neoplasms,Angiosarcoma; Angiosarcomas; Hemangioendothelial sarcoma; Hemangiosarcomas; Malignant hemangioendothelioma; angiosarcoma (disease)
Molecular Determinants of Tumor Behavior in Early Lung Adenocarcinoma,"Lung adenocarcinoma is the leading cause of cancer death worldwide and a heterogeneous disease with poor survival in the advanced stage. Given that the frequency of early diagnosis is increasing,  the investigation of the molecular determinants of disease progression is paramount. Prediction of whether the tumor is indolent or aggressive has",phs001811.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001811,"Pierre Massion, MD;Charles A. Powell, MD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),31747302,CA196405;CA163772,2020-02-12,DS-LC-NPU,Targeted-Capture,Cohort,Adenocarcinoma of Lung,102.0,102.0,,,Adenocarcinoma in Situ,"Adenocarcinoma in Situ; AIS; AIS - Adenocarcinoma in situ; Adenocarcinoma in Situs; Adenocarcinoma, Intraepithelial; Adenocarcinoma, Preinvasive"
"Genome, Exome, and Transcriptome Sequencing of Gastric Cancer","The integration of exogenous DNA into the human genome can cause somatic mutations associated with oncogenesis. For example, the insertion of HPV DNA into human chromosomes is the single most  important event leading to tumorigenesis in cervical cancer. It is also now preventable with vaccines against HPV. In contrast to viral DNA",phs001936.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001936,"Julie Dunning Hotopp, PhD",Ian Fingerman,Division of Cancer Biology (DCB),,1R01CA206188-01,2020-01-30,DS-GICA-PUB-NPU-MDS,RNA-Seq;WXS;WGS,Case Set,Gastrointestinal Neoplasms,9.0,19.0,,,,"Cancer of Gastrointestinal Tract; Cancer of the Gastrointestinal Tract; Cancer, Gastrointestinal; Cancers, Gastrointestinal; Gastrointestinal Cancer; Gastrointestinal Cancers"
Endometrial Cancer Association Consortium - OncoArray Genotypes,The data come from 9 studies participating in the Endometrial Cancer Association Consortium (ECAC). ECAC data included in this dbGaP submission include OncoArray data from 4486 endometrial cancer cases genotyped  at the Center for Inherited Disease Research (CIDR). Samples were genotyped using the Illumina OncoArray beadchip 500K SNP custom array. Details of,phs001885.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001885,Thomas Sellers,Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),30093612;27697780,U19-CA148112;HHSN268201200008I,2020-01-27,GRU-NPU;DS-BCEMOPCA-NPU-MDS;ENDTU-MDS;GRU,Array_SNP,Case Set,Endometrial Neoplasms,4486.0,4486.0,,,Neoplasms,Endometrial Tumor; Endometrial neoplasm; Endometrium Neoplasm; Endometrium Tumor; Neoplasm of Endometrium; Neoplasm of the Endometrium
MGH/Broad Hurthle Cell Carcinoma Whole Exome Sequencing Study,"In this study, we performed whole-exome sequencing of 41 patients with Hurthle cell carcinoma, a thyroid cancer variant with abundant mitochondria. We were able to identify recurrent somatic mutations in  both the nuclear and mitochondrial genomes of Hurthle cell carcinoma. Our study identifies mutations in DAXX (GeneID: 1616), TP53 ( GeneID:7157),",phs001580.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001580,"David McFadden, MD, PhD",Ian Fingerman,Division of Cancer Biology (DCB),,,2020-01-15,HMB-MDS,WXS,Cohort,"Thyroid cancer, Hurthle cell",41.0,111.0,,CDKN1A;DAXX;ARHGAP35;MT-ND1;MT-ND2;MT-ND4;MT-ND5;NF1;NRAS;TERT;TP53,"DNA, Mitochondrial;Neoplasm Metastasis","Neoplasm Metastasis; Metastase; Metastases, Neoplasm; Metastasis; Metastasis, Neoplasm; Metastasize"
DNA Methylation Markers and Pancreatic Cancer Risk,"Pancreatic cancer is the 4th leading cause of cancer deaths in the US. Due to the lack of early symptoms, pancreatic cancer is difficult to identify at early stages and  no screening is available for the general population. Identifying pancreatic cancer at earlier stages could significantly improve survival with",phs001917.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001917,"Dominique S. Michaud, ScD;Karl T. Kelsey, MD, MOH",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),,R01 CA207110,2020-01-08,HMB-PUB-MDS,Array_DNA_Methylation,Nested Case-Control,Pancreatic Neoplasms,824.0,824.0,,,"Carcinoma, Pancreatic Ductal","Carcinoma, Pancreatic Ductal; Carcinoma, Ductal, Pancreatic; Carcinoma, Pancreas Duct-Cell; Carcinomas, Pancreas Duct-Cell; Carcinomas, Pancreatic Ductal; Duct Cell Carcinoma of the Pancreas"
DNA Methylation and Prostate Cancer,"The study cohort includes 525 Caucasian and African American prostate cancer (PCa) patients who underwent radical prostatectomy (RP) as primary therapy for clinically localized adenocarcinoma of the prostate. These patients  were previously enrolled in one of two population-based studies: 1) men 40-64 years of age, diagnosed between January 1993 and December 1996; and, 2)",phs001921.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001921,Janet L. Stanford,Ian Fingerman,Division of Cancer Biology (DCB),27358489;29956356;26902887;32226005,,2019-12-27,DS-PRD-PUB-NPU-MDS,Array_DNA_Methylation,Cohort,Prostatic Neoplasms,525.0,525.0,,,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
CPTAC: Microscaled Proteogenomic Methods for Precision Oncology,"Cancer proteogenomics combines genomics, transcriptomics and mass spectrometry-based proteomics to gain insights into cancer biology and treatment outcomes. To promote clinical investigation, we developed a ""microscaled"" proteogenomics approach for tumor-rich  frozen core needle biopsies. Tissue-sparing specimen processing (""Biopsy Trifecta EXTraction"", BioTExt) and microscaled proteomics (MiProt) generated",phs001907.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001907,Matthew J Ellis,Sean Hanlon,Center for Strategic Scientific Initiatives (CSSI),,U01 CA214125,2019-12-27,HMB-NPU,RNA-Seq;Seq_DNA_SNP_MAF_Ind;WXS,Cohort,Breast Neoplasms,14.0,58.0,,,,Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer
"Endogenous CD4+ T Cells Recognize Neoantigens in Lung Cancer, including    KRAS and Her2","Neoantigen-specific T cell responses were characterized in 4 patients with non-small cell lung cancer. Candidate neoantigens were identified by sequencing tumor and normal DNA from each patient, and ranking single  nucleotide variants by expression. Multiple T cell responses were isolated, and in two patients with lung adenocarcinoma, CD4+ T cell responses to",phs001805.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001805,"Stanley Riddell, MD",Ian Fingerman,Division of Cancer Biology (DCB),31043415,T32 T32CA009515;K12 CA076930-16A1;EU-FP7-PEOPLE-2012-IOF 331255,2019-12-26,GRU-NPU,RNA-Seq;WXS,Case Set,Adenocarcinoma of Lung,4.0,10.0,,ERBB2;KRAS,"Carcinoma, Squamous Cell","ADENOCARCINOMA OF LUNG; Adenocarcinoma of lung, somatic; Adenocarcinoma of the Lung; Adenocarcinoma, Lung; Adenocarcinomas, Lung; Lung Adenocarcinoma"
LCCC 1108 (UNCseqTM),"The primary objective of this specimen correlative study was two-fold: to provide a mechanism for the association of known molecular alterations with clinical outcomes, and to provide rapid genetic profiling  of alterations with known clinical utility using tumor and germline specimens to support treatment decisions. Inclusion Criteria: 1.Current or",phs001713.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001713,"H. Shelton Earp, MD",Sean Hanlon,Center for Strategic Scientific Initiatives (CSSI),26076459;26371432;29158372;27083775;24628946;25642706;24907369;30009279;30662871;30102605;29866652;32913973,"University Cancer Research Fund (UCRF), Chapel Hill, NC, USA;National Cancer Institute (NCI), Bethesda, MD, USA",2019-12-26,GRU,Targeted-Capture,Cohort,Neoplasms,2074.0,3558.0,,,"Sequence Analysis, DNA;Humans",Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
The Cancer Genome Atlas (TCGA),"The Cancer Genome Atlas (TCGA) is a comprehensive and coordinated effort to accelerate our understanding of the molecular basis of cancer through the application of genome analysis technologies, including large-scale  genome sequencing. TCGA is a joint effort of the National Cancer Institute (NCI) and the National Human Genome Research Institute (NHGRI), which are",phs000178.v11.p8,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000178,,,,18772890;17348159;21720365;29925955;32669708,,2019-12-18,GRU,Seq_DNA_SNP_MAF_Sum,Tumor vs. Matched-Normal,Neoplasms,11429.0,11467.0,http://cancergenome.nih.gov,,"Adenocarcinoma;Brain Neoplasms;Carcinoma, Endometrioid;Carcinoma, Hepatocellular;Carcinoma, Squamous Cell;Carcinoma, Thyroid;Carcinoma, Transitional Cell;Carcinoma, squamous cell of head and neck;Chronic Lymphocytic Leukemia;Clear Cell Renal Cell Carcinoma;Colonic Neoplasms;Cystadenocarcinoma, Serous;Esophageal Neoplasms;Glioblastoma;Glioma;Invasive Ductal Carcinoma, Breast;Leukemia, Myeloid, Acute;Lung Neoplasms;Adenocarcinoma of Lung;Lymphoma, Large B-Cell, Diffuse;Lymphoma, Non-Hodgkin;Melanoma;Pancreatic Neoplasms;Papillary Renal Cell Carcinoma;Prostatic Neoplasms;Rectal Neoplasms;Sarcoma;Skin Neoplasms;Squamous Cell Carcinoma;Stomach Neoplasms;Urinary Bladder Neoplasms;Uterine Cervical Neoplasms","Adenocarcinoma; Carcinoma, Hepatocellular; Carcinoma, Transitional Cell; Cystadenocarcinoma, Serous; Esophageal Neoplasms; Invasive Ductal Carcinoma, Breast"
Genome-Wide Analysis of Noncoding Regulatory Mutations in Cancer,"Large-scale sequencing of human tumor samples has transformed the identification of somatic genetic alterations that drive the cancer phenotype. However, most efforts have focused on the protein-coding exome, which comprises  less than 2% of the human genome. Here, we analyzed whole genome sequences from The Cancer Genome Atlas with a focus on recurrently mutated",phs000854.v3.p8,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000854,William Lee,,,25261935,,2019-12-18,GRU,Seq_DNA_SNP_MAF_Sum,Tumor vs. Matched-Normal,Neoplasms,356.0,356.0,http://cancergenome.nih.gov,SDHD;TERT;WDR74;PLEKHS1,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Altered topology drives oncogenic programs in SDH-deficient GIST,"Metabolic lesions with pleiotropic effects on epigenetic regulation and other cellular processes are widely implicated in cancer, yet their oncogenic mechanisms remain poorly understood. Succinate dehydrogenase (SDH) deficiency causes a  subset of gastrointestinal stromal tumors (GISTs) with DNA hyper-methylation. Here we associate this hyper-methylation with changes in chromosome",phs001906.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001906,"Bradley E. Bernstein, MD, PhD",Ian Fingerman,Division of Cancer Biology (DCB),31666694,DP1 CA216873;Ludwig Center at Harvard,2019-12-17,DS-CA-MDS;HMB,RNA-Seq;ChIP-Seq;Bisulfite-Seq,Case Set,Gastrointestinal Stromal Tumors,22.0,84.0,,FGF3;FGF4;KIT,,GI stroma tumor; GI stroma tumour; GIST; GIST - Gastrointestinal stromal tumor; Gastrointestinal Stromal Neoplasm; Gastrointestinal Stromal Neoplasms
Genetics of Cutaneous T-Cell Lymphoma,"Mycosis fungoides (MF) is a common extranodal T-cell lymphoma primarily arising in the skin. In early disease stages, MF presents as skin patches and plaques that in some cases may  progress to tumor and disperse to lymph nodes and other internal organs. The 10-year overall survival is 50% in advanced stages. Early diagnosis is",phs001877.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001877,Robert Gniadecki,Ian Fingerman,Division of Cancer Biology (DCB),,CDF RES0035718;Unrestricted Research Grant;R124-A7592 Rp12350,2019-12-16,GRU-IRB,WXS,Case-Control;Longitudinal,Mycosis Fungoides,31.0,82.0,,,"Lymphoma, T-Cell, Cutaneous","Lymphoma, T-Cell, Cutaneous; Granulomatous Slack Skin; Slack Skin, Granulomatous"
AACR Project GENIE,AACR Project Genomics Evidence Neoplasia Information Exchange (GENIE) is an international pancancer registry of real-world data assembled through data sharing between 19 leading international cancer centers with the goal of  improving clinical decision-making. The registry leverages ongoing clinical sequencing efforts (CLIA/ISO-certified) at participating cancer centers,phs001337.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001337,,,,28572459;30652542,"American Association for Cancer Research, Philadelphia, PA, USA;Genentech, CA, USA;Boehringer-Ingelheim, Ingelheim am Rhein, Germany",2019-12-09,GRU-PUB,,Case Set,Neoplasms,46510.0,48447.0,http://www.cbioportal.org/genie/login.jsp;https://www.synapse.org/genie;www.aacr.org/Research/Research/Pages/aacr-project-genie.aspx,,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Human Pilocytic Astrocytoma Single Cell RNA Sequencing,"Pilocytic astrocytoma (PA), the most common childhood brain tumor, is a low-grade glioma with a single driver BRAF rearrangement. Here, we perform scRNAseq in six PAs using methods that enabled  detection of the rearrangement. When compared to higher-grade gliomas, a strikingly higher proportion of the PA cancer cells exhibit a",phs001854.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001854,"Rameen Beroukhim, MD, PhD;Pratiti Bandopadhayay, MBBS, PhD;Keith L. Ligon, MD, PhD",Ian Fingerman,Division of Cancer Biology (DCB),31427603,R01 CA215489,2019-12-03,DS-NDR-MDS,RNA-Seq,Case Set,Astrocytoma,6.0,1234.0,,BRAF,,ASTROCYTOMA; Astrocytic Glioma; Astrocytic Gliomas; Astrocytic Neoplasm; Astrocytoma (excluding glioblastoma); Astrocytomas
Non-coding RNAs Activated in Hepatoblastoma,"Hepatoblastoma (HB) is the most common pediatric liver tumor, affecting mostly children under 3 years of age. This rare tumor represents 1% of all pediatric cancers. Genetic studies have shown  that HB is characterized by high frequency mutations of the CTNNB1 gene encoding beta-catenin (around 75%) and relative genomic stability. Here we",phs001433.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001433,Marie Annick Buendia;Piero Carninci;Jamila Faivre,Ian Fingerman,Division of Cancer Biology (DCB),26510915,Modhep (259743),2019-11-27,HMB,RNA-Seq,Case-Control,Hepatoblastoma,21.0,42.0,http://www.modhep.eu/,,,
Enhancer Signatures of Neuroendocrine Tumors,"Most pancreatic neuroendocrine tumors (PNETs) do not produce symptoms of hormonal excess and are hence considered &#x0201c;non-functional&#x0201d;. Their clinical behaviors vary widely, emphasizing the need for a robust classification with  prognostic power. Using enhancer maps to infer regulatory programs, we find that the large majority of non-functional PNETs fall into two major",phs001910.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001910,"Bradley E. Bernstein, MD PhD;Ramesh A. Shivdasani, MD PhD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),31263286,P50CA127003;Neuroendocrine Tumor Research Foundation,2019-11-25,HMB;DS-PACA-MDS;DS-PACA-NPU-MDS,RNA-Seq;ChIP-Seq,Case Set,Neuroendocrine Tumors,46.0,62.0,,PDX1;ARX,Neuroendocrine tumors,
